track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,spotify_url
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,"https://open.spotify.com/search/Frï¿½ï¿½gil%20(feat.%20Grupo%20Front%20Yahritza%20Y%20Su%20Esencia,%20Grupo%20Frontera"
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,https://open.spotify.com/search/Blank%20Space%20Taylor%20Swift
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,https://open.spotify.com/search/Style%20Taylor%20Swift
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,https://open.spotify.com/search/TQM%20Fuerza%20Regida
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,"https://open.spotify.com/search/El%20Azul%20Junior%20H,%20Peso%20Pluma"
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,"https://open.spotify.com/search/Sunflower%20-%20Spider-Man:%20Into%20the%20Spider-Verse%20Post%20Malone,%20Swae%20Lee"
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,"https://open.spotify.com/search/I'm%20Good%20(Blue)%20Bebe%20Rexha,%20David%20Guetta"
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,"https://open.spotify.com/search/See%20You%20Again%20Tyler,%20The%20Creator,%20Kali%20Uchis"
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,"https://open.spotify.com/search/Barbie%20World%20(with%20Aqua)%20[From%20Barbie%20The%20Album]%20Nicki%20Minaj,%20Aqua,%20Ice%20Spice"
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,https://open.spotify.com/search/Angels%20Like%20You%20Miley%20Cyrus
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,https://open.spotify.com/search/I%20Ain't%20Worried%20OneRepublic
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,https://open.spotify.com/search/Die%20For%20You%20The%20Weeknd
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,"https://open.spotify.com/search/Starboy%20The%20Weeknd,%20Daft%20Punk"
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,"https://open.spotify.com/search/Die%20For%20You%20-%20Remix%20Ariana%20Grande,%20The%20Weeknd"
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,"https://open.spotify.com/search/El%20Cielo%20Feid,%20Myke%20Towers,%20Sky%20Rompiendo"
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,"https://open.spotify.com/search/Baby%20Don't%20Hurt%20Me%20David%20Guetta,%20Anne-Marie,%20Coi%20Leray"
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,https://open.spotify.com/search/AMARGURA%20Karol%20G
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,https://open.spotify.com/search/(It%20Goes%20Like)%20Nanana%20-%20Edit%20Peggy%20Gou
